File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
1B,inf,1,19.557272249453007,0.409055
1B,inf,3,50.264832838015295,0.159157
1B,inf,5,75.37357025758918,0.106138
1B,inf,7,39.97501561524047,0.200125
1B,500k,1,58.94228077155445,0.135726
1B,500k,3,63.22311437061389,0.126536
1B,500k,5,32.34322631768325,0.247347
1B,500k,7,42.877279865365345,0.186579
1B,1M,1,53.57011323382685,0.149337
1B,1M,3,48.1197218680076,0.166252
1B,1M,5,51.380860629415544,0.1557
1B,1M,7,50.04879757763819,0.159844
1B,1.5M,1,59.547291714738705,0.134347
1B,1.5M,3,52.94051471415431,0.151113
1B,1.5M,5,46.41205785263011,0.172369
1B,1.5M,7,1.5431184920183159,5.184307
1B,2M,1,57.82394055698911,0.138351
1B,2M,3,55.55748463488315,0.143995
1B,2M,5,46.99220516796776,0.170241
1B,2M,7,47.045263424071884,0.170049
1kB,inf,1,6864.559032526211,0.149172
1kB,inf,3,6658.343736995422,0.153792
1kB,inf,5,5286.061625980167,0.193717
1kB,inf,7,6903.5724639146765,0.148329
1kB,500k,1,6428.849461960548,0.159282
1kB,500k,3,5980.9241228659375,0.171211
1kB,500k,5,5558.993735274638,0.184206
1kB,500k,7,4470.756710501039,0.229044
1kB,1M,1,6797.392562696653,0.150646
1kB,1M,3,196.58446019039897,5.208957
1kB,1M,5,5178.988681077472,0.197722
1kB,1M,7,5801.798330849817,0.176497
1kB,1.5M,1,6590.082697815104,0.155385
1kB,1.5M,3,5741.777035134741,0.178342
1kB,1.5M,5,5808.8085135349775,0.176284
1kB,1.5M,7,4608.460846084608,0.2222
1kB,2M,1,6452.182022103763,0.158706
1kB,2M,3,6199.3727978302195,0.165178
1kB,2M,5,4833.973771915746,0.211834
1kB,2M,7,5208.015461295901,0.19662
10kB,inf,1,51159.07274180655,0.20016
10kB,inf,3,56400.08812513769,0.18156
10kB,inf,5,54719.26983974308,0.187137
10kB,inf,7,49058.82747485975,0.208729
10kB,500k,1,71165.96821160757,0.143889
10kB,500k,3,59240.40380665876,0.172855
10kB,500k,5,66345.7364441536,0.154343
10kB,500k,7,46173.5476074527,0.221772
10kB,1M,1,71490.40743947052,0.143236
10kB,1M,3,64876.6456746791,0.157838
10kB,1M,5,44289.508057749365,0.231206
10kB,1M,7,1935.7307156608176,5.289992
10kB,1.5M,1,62988.251214861295,0.16257
10kB,1.5M,3,51695.501380734335,0.198083
10kB,1.5M,5,1968.097977452593,5.202993
10kB,1.5M,7,50516.01318152219,0.202708
10kB,2M,1,63275.49557565871,0.161832
10kB,2M,3,59794.92210309953,0.171252
10kB,2M,5,44364.14995429279,0.230817
10kB,2M,7,46137.55660186082,0.221945
100kB,inf,1,506141.4131428713,0.202315
100kB,inf,3,535469.6340608888,0.191234
100kB,inf,5,591883.565404868,0.173007
100kB,inf,7,299766.6854996648,0.341599
100kB,500k,1,450448.4689590857,0.227329
100kB,500k,3,468654.17532425927,0.218498
100kB,500k,5,304164.43889978016,0.33666
100kB,500k,7,242269.38273357466,0.42267
100kB,1M,1,365825.3398353071,0.279915
100kB,1M,3,527223.5808984425,0.194225
100kB,1M,5,393718.95233847527,0.260084
100kB,1M,7,338541.4944755582,0.302474
100kB,1.5M,1,521804.71051049215,0.196242
100kB,1.5M,3,408215.3335884679,0.250848
100kB,1.5M,5,317124.0809905172,0.322902
100kB,1.5M,7,324465.4558359422,0.315596
100kB,2M,1,498602.5494950675,0.205374
100kB,2M,3,401341.98726993386,0.255144
100kB,2M,5,340556.8636841335,0.300684
100kB,2M,7,19277.406014174165,5.311918
500kB,inf,1,1923040.8082780896,0.266245
500kB,inf,3,1420458.4862684389,0.360447
500kB,inf,5,783953.4527637422,0.6531
500kB,inf,7,624678.967473991,0.819621
500kB,500k,1,526747.3454300038,0.972003
500kB,500k,3,471194.55181299464,1.0866
500kB,500k,5,510486.91677866806,1.002964
500kB,500k,7,452553.07996842737,1.131359
500kB,1M,1,898939.5322705247,0.56956
500kB,1M,3,93409.04330895699,5.481268
500kB,1M,5,959336.8583966333,0.533702
500kB,1M,7,1134022.901946887,0.45149
500kB,1.5M,1,2052260.4927830175,0.249481
500kB,1.5M,3,95852.86585091884,5.34152
500kB,1.5M,5,1029876.4751673046,0.497147
500kB,1.5M,7,632542.3259767343,0.809432
500kB,2M,1,1863044.4037712095,0.274819
500kB,2M,3,1258356.2721195437,0.40688
500kB,2M,5,995556.9382735254,0.514285
500kB,2M,7,782102.0826523037,0.654646
1MB,inf,1,2553510.243740883,0.410641
1MB,inf,3,1830151.236157048,0.572945
1MB,inf,5,1187396.952512094,0.883088
1MB,inf,7,1390961.0665251708,0.75385
1MB,500k,1,525062.7300582009,1.997049
1MB,500k,3,521270.88412269787,2.011576
1MB,500k,5,473624.6120602239,2.213939
1MB,500k,7,479332.15607953456,2.187577
1MB,1M,1,1039010.8659678994,1.009206
1MB,1M,3,1098332.6664557797,0.954698
1MB,1M,5,1133384.92734324,0.925172
1MB,1M,7,971539.7023792426,1.079293
1MB,1.5M,1,1557171.6031690638,0.673385
1MB,1.5M,3,1526096.0242876916,0.687097
1MB,1.5M,5,1071490.9044832794,0.978614
1MB,1.5M,7,884690.6043133661,1.185246
1MB,2M,1,2130308.1155097946,0.492218
1MB,2M,3,191435.86943285598,5.477427
1MB,2M,5,181688.35419609034,5.771289
1MB,2M,7,1000812.2360352192,1.047725
10MB,inf,1,5484577.085282784,1.911863
10MB,inf,3,3369646.3943379903,3.111828
10MB,inf,5,886174.0583382259,11.832619
10MB,inf,7,1222146.1779026813,8.579792
10MB,500k,1,512496.33067493193,20.460166
10MB,500k,3,510026.4367646132,20.559248
10MB,500k,5,409462.718026999,25.608583
10MB,500k,7,508648.6313953503,20.614938
10MB,1M,1,1045357.3447355592,10.03079
10MB,1M,3,1042558.4568429481,10.057719
10MB,1M,5,1030482.1756702759,10.175586
10MB,1M,7,1015251.4867248909,10.328239
10MB,1.5M,1,1572618.5928685828,6.667707
10MB,1.5M,3,889686.7536898536,11.785901
10MB,1.5M,5,1542494.8977055047,6.797922
10MB,1.5M,7,881506.0900636371,11.895278
10MB,2M,1,2086545.6710449443,5.025416
10MB,2M,3,2047836.8130039636,5.120408
10MB,2M,5,1534761.6242265457,6.832175
10MB,2M,7,1011549.8367070762,10.366034
100MB,inf,1,5921313.954167326,17.708502
100MB,inf,3,2460151.3691691537,42.622418
100MB,inf,5,1545751.2221421388,67.836013
100MB,inf,7,1168246.4722683516,89.756402
100MB,500k,1,511871.99700949783,204.851214
100MB,500k,3,512074.9584725588,204.770021
100MB,500k,5,511282.2949679255,205.087485
100MB,500k,7,511723.0423965412,204.910843
100MB,1M,1,1047877.6419455254,100.066645
100MB,1M,3,1047313.2125670793,100.120574
100MB,1M,5,1038850.7879600046,100.936151
100MB,1M,7,829529.8894465925,126.406054
100MB,1.5M,1,1570143.2949520894,66.782185
100MB,1.5M,3,1459717.568950821,71.83417
100MB,1.5M,5,1138524.3784810493,92.099565
100MB,1.5M,7,880902.831984286,119.034241
100MB,2M,1,2093938.6835749596,50.076729
100MB,2M,3,812157.8994089135,129.109869
100MB,2M,5,930254.666991592,112.719241
100MB,2M,7,926570.5051330716,113.167427
500MB,inf,1,5479055.509599618,95.689485
500MB,inf,3,2084291.3471238343,251.542569
500MB,inf,5,1160506.8483911026,451.775016
500MB,inf,7,684543.1590139947,765.894733
500MB,500k,1,511347.22033062123,1025.307226
