File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
1B,500k,1,2.151435222436888,0.464806
1B,500k,3,6.024350424415488,0.165993
1B,500k,5,3.9045265175918447,0.256113
1B,500k,7,6.034930175857866,0.165702
1B,1M,1,7.136026945637746,0.140134
1B,1M,3,6.337938902268982,0.15778
1B,1M,5,6.28456510809452,0.15912
1B,1M,7,5.37048275269464,0.186203
1B,1.5M,1,7.330787106611637,0.136411
1B,1.5M,3,6.84828313541795,0.146022
1B,1.5M,5,5.778877048611913,0.173044
1B,1.5M,7,5.511008238957317,0.181455
1B,2M,1,7.210325185665873,0.13869
1B,2M,3,6.079803500750856,0.164479
1B,2M,5,6.112095837662735,0.16361
1B,2M,7,5.707729978710168,0.175201
1B,inf,1,7.272621489141976,0.137502
1B,inf,3,6.862193431508447,0.145726
1B,inf,5,5.09561929609115,0.196247
1B,inf,7,6.4314472042499,0.155486
1kB,500k,1,7675.529004354963,0.133411
1kB,500k,3,6977.520663409582,0.146757
1kB,500k,5,6453.889981344224,0.158664
1kB,500k,7,5537.949011930386,0.184906
1kB,1M,1,8815.199331973176,0.116163
1kB,1M,3,7411.964822120082,0.138155
1kB,1M,5,6266.714809397625,0.163403
1kB,1M,7,4969.836393374198,0.206043
1kB,1.5M,1,8037.36117106864,0.127405
1kB,1.5M,3,7337.766567301077,0.139552
1kB,1.5M,5,6541.082983602579,0.156549
1kB,1.5M,7,4679.880626482457,0.218809
1kB,2M,1,8173.625689450116,0.125281
1kB,2M,3,6421.632875750184,0.159461
1kB,2M,5,5617.792602508257,0.182278
1kB,2M,7,5390.523417718187,0.189963
1kB,inf,1,8723.208505128292,0.117388
1kB,inf,3,198.87727562992046,5.148904
1kB,inf,5,5018.55001151718,0.204043
1kB,inf,7,5486.46867515712,0.186641
10kB,500k,1,76115.1539027599,0.134533
10kB,500k,3,63210.65692169039,0.161998
10kB,500k,5,66048.74965330857,0.155037
10kB,500k,7,59610.43648344996,0.171782
10kB,1M,1,77276.60345178892,0.132511
10kB,1M,3,65539.35561500749,0.156242
10kB,1M,5,53368.07817589577,0.191875
10kB,1M,7,46547.57034410655,0.21999
10kB,1.5M,1,72940.70718295011,0.140388
