File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
1B,500k,1,4.766285204974095,0.209807
1B,500k,3,0.19592960171038704,5.103874
1B,500k,5,6.817654999386411,0.146678
1B,500k,7,8.245314599978562,0.121281
1B,1M,1,9.51311859053635,0.105118
1B,1M,3,8.141532399228183,0.122827
1B,1M,5,7.701608866092127,0.129843
1B,1M,7,8.170335147147735,0.122394
1B,1.5M,1,11.864085041761578,0.084288
1B,1.5M,3,9.595731818487137,0.104213
1B,1.5M,5,0.19453462745548902,5.140473
1B,1.5M,7,6.741179167059902,0.148342
1B,2M,1,9.195402298850574,0.10875
1B,2M,3,9.13125262523513,0.109514
1B,2M,5,7.782464550873971,0.128494
1B,2M,7,0.19482441157670033,5.132827
1B,inf,1,9.888067080647074,0.101132
1B,inf,3,9.377784029633798,0.106635
1B,inf,5,8.034064433196754,0.12447
1B,inf,7,5.231028367866839,0.191167
1kB,500k,1,9605.823530515374,0.106602
1kB,500k,3,9043.140371793173,0.113235
1kB,500k,5,6997.3554916257235,0.146341
1kB,500k,7,7694.793240003907,0.133077
1kB,1M,1,8257.265425926524,0.124012
1kB,1M,3,7917.913506073751,0.129327
1kB,1M,5,8534.186752008534,0.119988
1kB,1M,7,6386.508500792076,0.160338
1kB,1.5M,1,8722.911271636909,0.117392
1kB,1.5M,3,8625.990851732358,0.118711
1kB,1.5M,5,8587.794261944498,0.119239
1kB,1.5M,7,6041.903907766561,0.169483
1kB,2M,1,9423.110546706052,0.108669
1kB,2M,3,199.02914980150535,5.144975
1kB,2M,5,8673.702756272342,0.118058
1kB,2M,7,7991.696128241749,0.128133
1kB,inf,1,9885.792070127338,0.103583
1kB,inf,3,7941.247179073573,0.128947
1kB,inf,5,8254.669450467953,0.124051
1kB,inf,7,6910.141172024726,0.148188
10kB,500k,1,81049.20731659055,0.126343
10kB,500k,3,89235.91745677634,0.114752
10kB,500k,5,62239.781188269255,0.164525
10kB,500k,7,2001.0200512370564,5.11739
10kB,1M,1,101783.1938452975,0.100606
10kB,1M,3,90788.99538075521,0.112789
10kB,1M,5,82912.2943386449,0.123504
10kB,1M,7,82605.95989093432,0.123962
10kB,1.5M,1,5336.640938915266,1.91881
10kB,1.5M,3,107164.53523662013,0.095554
