File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
10kB,500k,3,38559.00770803601,0.265567
10kB,1M,3,60230.33397249638,0.170014
10kB,1.5M,3,63998.400039999,0.160004
10kB,2M,3,64553.54666263207,0.158628
10kB,inf,3,59552.88808244353,0.171948
File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
10kB,500k,3,49397.48574515914,0.207298
10kB,1M,3,56088.07580653996,0.18257
10kB,1.5M,3,53807.51203312525,0.190308
10kB,2M,3,56678.86221612137,0.180667
10kB,inf,3,64119.82392095227,0.159701
10kB,inf,1,55044.29345488948,0.186032
10kB,inf,3,60582.75403046886,0.169025
10kB,inf,5,1978.5623541800512,5.175475
10kB,inf,7,30562.785033786204,0.335048
1B,inf,3,4.408140954715168,0.226853
1kB,inf,3,4106.825592261201,0.249341
10kB,inf,3,53303.07273474954,0.192109
100kB,inf,3,459646.2878175779,0.22278
500kB,inf,3,1661674.0717181126,0.308123
1MB,inf,3,193463.56414314493,5.420018
10MB,inf,3,4296067.529204791,2.440781
100MB,inf,3,4717369.941729745,22.227979
500MB,inf,3,5215043.765195392,100.533768
File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
10kB,500k,3,56166.83304628279,0.182314
10kB,1M,3,51750.103601281626,0.197874
10kB,1.5M,3,54685.95628327753,0.187251
10kB,2M,3,62771.6375183135,0.163131
10kB,inf,3,53505.274763171234,0.191383
10kB,2M,1,58694.057226705794,0.174464
10kB,2M,3,55397.765695582784,0.184845
10kB,2M,5,47545.641959029024,0.215372
10kB,2M,7,1953.5240601097828,5.241809
1B,2M,1,5.797235877933401,0.172496
1kB,2M,1,5799.958086240393,0.176553
10kB,2M,1,54251.94305665196,0.188749
100kB,2M,1,533486.154888119,0.191945
500kB,2M,1,2181591.965605839,0.234691
1MB,2M,1,1587049.044358476,0.660708
10MB,2M,1,2036217.3804044449,5.149627
100MB,2M,1,2092739.6259179222,50.105421
500MB,2M,1,2093903.484631487,250.387854
File Size,Download Speed Limit,No. of Concurrent Downloads,Throughput (bite/seconds),Delay (seconds)
10kB,500k,3,40739.031493180984,0.251356
10kB,1M,3,48547.371614958654,0.210928
10kB,1.5M,3,52883.82085605685,0.193632
10kB,2M,3,52707.43257154622,0.19428
10kB,inf,3,51302.86223878877,0.199599
10kB,1.5M,1,52208.93772146736,0.196135
10kB,1.5M,3,52779.69631057553,0.194014
10kB,1.5M,5,45205.52178385227,0.226521
10kB,1.5M,7,37557.17015525342,0.272651
1B,1.5M,3,4.900519455062237,0.20406
1kB,1.5M,3,4965.859714463067,0.206208
10kB,1.5M,3,55668.511410957566,0.183946
100kB,1.5M,3,516775.0010093262,0.198152
500kB,1.5M,3,1398085.82390126,0.366215
1MB,1.5M,3,1267627.0194730149,0.827196
10MB,1.5M,3,1532609.251699487,6.84177
100MB,1.5M,3,1567697.9727090218,66.886353
500MB,1.5M,3,1570938.9525562702,333.741804
